Название услуги,Цена,Код услуги,Длительность
Анализы,,,
Компонент системы комплемента С3 ,510.00,10.0.A1.201,1 дн
Чувствительность к Амиксину,665.00,10.0.A14.204,14 дн
Чувствительность к Кагоцелу,665.00,10.0.A15.204,14 дн
Чувствительность к Неовиру,665.00,10.0.A16.204,14 дн
Чувствительность к Ридостину,665.00,10.0.A17.204,14 дн
Чувствительность к Циклоферону,665.00,10.0.A18.204,14 дн
Чувствительность к Галавиту,665.00,10.0.A19.204,14 дн
Чувствительность к Гепону,665.00,10.0.A20.204,14 дн
Чувствительность к Иммуналу,665.00,10.0.A21.204,14 дн
Компонент системы комплемента С4 ,510.00,10.0.A2.201,1 дн
Чувствительность к Иммуномаксу,665.00,10.0.A22.204,14 дн
Чувствительность к Имунориксу,665.00,10.0.A23.204,14 дн
Чувствительность к Ликопиду,665.00,10.0.A24.204,14 дн
Чувствительность к Полиоксидонию,665.00,10.0.A25.204,14 дн
Чувствительность к Тактивину,665.00,10.0.A26.204,14 дн
Чувствительность к Тимогену,665.00,10.0.A27.204,14 дн
Чувствительность к Иммунофану,665.00,10.0.A28.204,14 дн
Иммуноглобулин А (IgA),450.00,10.0.A3.201,1 дн
Иммуноглобулин М (IgM),450.00,10.0.A4.201,1 дн
Иммуноглобулин G (IgG),450.00,10.0.A5.201,1 дн
Иммуноглобулин Е (IgE),720.00,10.0.A6.201,1 дн
Фактор некроза опухоли (ФНО-альфа),2100.00,10.0.A7.201,8 дн
Циркулирующие иммунные комплексы,1420.00,10.0.A73.201,4дн
Интерлейкин-6 (IL-6),2250.00,10.0.A76,5 дн
Криоглобулины,1085.00,10.0.A8.201,9 дн
"Иммунный статус (Иммуноглобулины: IgA, IgM, IgG, иммунограмма базовая. Включает анализ крови с лейкоцитарной формулой)",5200.00,10.0.D10.204,4 дн
"Интерфероновый статус (3 показателя: сывороточный интерферон, интерферон-альфа, интерферон-гамма; заключение врача КЛД по исследовательскому отчету)",4300.00,10.0.D1.204,14 дн
Фаготест ,3100.00,10.0.D2.204,8 дн
"Иммунограмма базовая (CD3, CD3/4, CD3/8, CD19, CD16/56, CD3/16/56, CD3/HLA-DR, лейкоцитарно-Т-ЛФ индекс, иммунорегуляторный индекс.",4200.00,10.0.D4.202,4 дн
"Иммунограмма расширенная (CD3, CD3/4, CD3/8, CD19, CD16/56, CD3/16/56, CD3/HLA-DR, CD3/25, CD3/95, CD3/4/95, CD3/8/95, CD3/8/38, лейкоцитарно-Т-ЛФ индекс, иммунорегуляторный индекс.Включает ОАК с лейкоцитарной формулой)",6200.00,10.0.D68.202,4 дн
"Наивные CD4 лимфоциты/клетки памяти (CD4/45RO, CD4/45RA, соотношение ""наивных"" клеток и клеток памяти. Включает анализ крови с лейкоцитарной формулой)",5255.00,10.0.D72,5 дн
Сокращенная панель CD4/CD8,2050.00,10.0.D7.202,4 дн
В1-клетки CD5/CD19 (включает анализ крови с лейкоцитарной формулой),2695.00,10.0.D73,5 дн
"Т-SPOT детский (инфицирование М. tuberculosis), (дети до 12 лет)",6550.00,10.0.D75,5 дн
"T-SPOT (инфицирование M. tuberculosis), (дети старше 12 лет и взрослые)",6550.00,10.0.D76,5 дн
Бактерицидная активность крови (BURST),4800.00,10.0.D8.204,8 дн
"Иммунограмма скрининг (CD3, CD19, CD16/56. Включает анализ крови с лейкоцитарной формулой)",2300.00,10.0.D9.202,4дн
Интерлейкин-1b,2280.00,10.1.A2.201,7 дн
Интерлейкин-8,2280.00,10.1.A3.201,7 дн
Интерлейкин-10,2280.00,10.1.A4.201,7 дн
"Ингибитор C1-эстеразы (фактор C1-INH комплемента), концентрация",3235.00,10.1.D3,9 дн
"TB - Ферон тест (IGRA - тест, диагностика туберкулеза)",5795.00,10.2.D3,10 дн
Количественное определение ДНК TREC и KREC (диагностика наследственных Т- и В-клеточных иммунодефицитов),5900.00,10.2.D4,11 дн
Квантифероновый тест TB Gold Plus,8600.00,10.2.D5,7 дн
Чувствительность к Цитовиру-3,590.00,10.5.A6,14 дн
Чувствительность к Аллокину-альфа,590.00,10.5.A7,14 дн
Чувствительность к Арбидолу,590.00,10.5.A8,14 дн
Чувствительность к Панавиру,590.00,10.6.A11,14 дн
Чувствительность к Изопринозину,590.00,10.6.A12,14 дн
СОЭ (венозная кровь),310.00,1.0.A1.202,1 дн
"Иммунофенотипирование клеток костного мозга или периферической крови для диагностики минимальной остаточной болезни (МОБ) методом проточной цитометрии (ЛПЗ, острый лейкоз, множественная миелома), после лечения",21010.00,1.0.A13.202,8 дн
