Название услуги,Цена,Код услуги,Длительность,Категория,Рекомендации после приёма,Код по приказу №804н,Ставка НДС
Анализы,,,,,,,
Компонент системы комплемента С3 ,510.00,10.0.A1.201,1 дн,🔬 Иммунологические анализы,,A09.05.075.001,
Чувствительность к Амиксину,665.00,10.0.A14.204,14 дн,🧪 Микробиология,,A09.05.035.024,
Чувствительность к Кагоцелу,665.00,10.0.A15.204,14 дн,🧪 Микробиология,,A09.05.035.025,
Чувствительность к Неовиру,665.00,10.0.A16.204,14 дн,🧪 Микробиология,,A09.05.035.026,
Чувствительность к Ридостину,665.00,10.0.A17.204,14 дн,🧪 Микробиология,,A09.05.035.027,
Чувствительность к Циклоферону,665.00,10.0.A18.204,14 дн,🧪 Микробиология,,A09.05.035.022,
Чувствительность к Галавиту,665.00,10.0.A19.204,14 дн,🧪 Микробиология,,A09.05.035.013,
Чувствительность к Гепону,665.00,10.0.A20.204,14 дн,🧪 Микробиология,,A09.05.035.014,
Чувствительность к Иммуналу,665.00,10.0.A21.204,14 дн,🧪 Микробиология,,A09.05.035.029,
Компонент системы комплемента С4 ,510.00,10.0.A2.201,1 дн,🔬 Иммунологические анализы,,A09.05.075.002,
Чувствительность к Иммуномаксу,665.00,10.0.A22.204,14 дн,🧪 Микробиология,,A09.05.035.017,
Чувствительность к Имунориксу,665.00,10.0.A23.204,14 дн,🧪 Микробиология,,A09.05.035.018,
Чувствительность к Ликопиду,665.00,10.0.A24.204,14 дн,🧪 Микробиология,,A09.05.035.019,
Чувствительность к Полиоксидонию,665.00,10.0.A25.204,14 дн,🧪 Микробиология,,A09.05.035.030,
Чувствительность к Тактивину,665.00,10.0.A26.204,14 дн,🧪 Микробиология,,A09.05.035.020,
Чувствительность к Тимогену,665.00,10.0.A27.204,14 дн,🧪 Микробиология,,A09.05.035.021,
Чувствительность к Иммунофану,665.00,10.0.A28.204,14 дн,🧪 Микробиология,,A09.05.035.016,
Иммуноглобулин А (IgA),450.00,10.0.A3.201,1 дн,🔬 Иммунологические анализы,,A09.05.054.002,
Иммуноглобулин М (IgM),450.00,10.0.A4.201,1 дн,🔬 Иммунологические анализы,,A09.05.054.003,
Иммуноглобулин G (IgG),450.00,10.0.A5.201,1 дн,🔬 Иммунологические анализы,,A09.05.054.004,
Иммуноглобулин Е (IgE),720.00,10.0.A6.201,1 дн,🔬 Иммунологические анализы,,A09.05.054.001,
Фактор некроза опухоли (ФНО-альфа),2100.00,10.0.A7.201,8 дн,🔬 Иммунологические анализы,,A12.06.073,
Циркулирующие иммунные комплексы,1420.00,10.0.A73.201,4дн,🔬 Иммунологические анализы,,A09.05.074,
Интерлейкин-6 (IL-6),2250.00,10.0.A76,5 дн,🔬 Иммунологические анализы,,A12.05.108.001,
Криоглобулины,1085.00,10.0.A8.201,9 дн,🔬 Иммунологические анализы,,A12.06.002.001,
"Иммунный статус (Иммуноглобулины: IgA, IgM, IgG, иммунограмма базовая. Включает анализ крови с лейкоцитарной формулой)",5200.00,10.0.D10.204,4 дн,🔬 Иммунологические анализы,,,
"Интерфероновый статус (3 показателя: сывороточный интерферон, интерферон-альфа, интерферон-гамма; заключение врача КЛД по исследовательскому отчету)",4300.00,10.0.D1.204,14 дн,🔬 Иммунологические анализы,,A12.06.047.002,
Фаготест ,3100.00,10.0.D2.204,8 дн,🔬 Иммунологические анализы,,A12.30.012.007.001,
"Иммунограмма базовая (CD3, CD3/4, CD3/8, CD19, CD16/56, CD3/16/56, CD3/HLA-DR, лейкоцитарно-Т-ЛФ индекс, иммунорегуляторный индекс.",4200.00,10.0.D4.202,4 дн,🔬 Иммунологические анализы,,A12.30.012.013,
"Иммунограмма расширенная (CD3, CD3/4, CD3/8, CD19, CD16/56, CD3/16/56, CD3/HLA-DR, CD3/25, CD3/95, CD3/4/95, CD3/8/95, CD3/8/38, лейкоцитарно-Т-ЛФ индекс, иммунорегуляторный индекс.Включает ОАК с лейкоцитарной формулой)",6200.00,10.0.D68.202,4 дн,🔬 Иммунологические анализы,,A12.30.012.014,
"Наивные CD4 лимфоциты/клетки памяти (CD4/45RO, CD4/45RA, соотношение ""наивных"" клеток и клеток памяти. Включает анализ крови с лейкоцитарной формулой)",5255.00,10.0.D72,5 дн,🔬 Иммунологические анализы,,A12.30.012.018,
Сокращенная панель CD4/CD8,2050.00,10.0.D7.202,4 дн,🔬 Иммунологические анализы,,A12.30.012.019,
В1-клетки CD5/CD19 (включает анализ крови с лейкоцитарной формулой),2695.00,10.0.D73,5 дн,🔬 Иммунологические анализы,,A12.30.012.017,
"Т-SPOT детский (инфицирование М. tuberculosis), (дети до 12 лет)",6550.00,10.0.D75,5 дн,🔬 Иммунологические анализы,,A12.26.002.003,
"T-SPOT (инфицирование M. tuberculosis), (дети старше 12 лет и взрослые)",6550.00,10.0.D76,5 дн,📋 Прочие анализы,,A12.26.002.004,
Бактерицидная активность крови (BURST),4800.00,10.0.D8.204,8 дн,🔬 Иммунологические анализы,,A09.05.035.001,
"Иммунограмма скрининг (CD3, CD19, CD16/56. Включает анализ крови с лейкоцитарной формулой)",2300.00,10.0.D9.202,4дн,🔬 Иммунологические анализы,,A12.30.012.015,
Интерлейкин-1b,2280.00,10.1.A2.201,7 дн,🔬 Иммунологические анализы,,A12.05.108.002,
Интерлейкин-8,2280.00,10.1.A3.201,7 дн,🔬 Иммунологические анализы,,A12.05.108,
Интерлейкин-10,2280.00,10.1.A4.201,7 дн,🔬 Иммунологические анализы,,A12.05.109,
"Ингибитор C1-эстеразы (фактор C1-INH комплемента), концентрация",3235.00,10.1.D3,9 дн,🔬 Иммунологические анализы,,A09.05.075.006,
"TB - Ферон тест (IGRA - тест, диагностика туберкулеза)",5795.00,10.2.D3,10 дн,🎯 Комплексные программы,,A12.26.002.007,
Количественное определение ДНК TREC и KREC (диагностика наследственных Т- и В-клеточных иммунодефицитов),5900.00,10.2.D4,11 дн,🧬 ПЦР диагностика & Генетика,,A08.05.019.003,
Квантифероновый тест TB Gold Plus,8600.00,10.2.D5,7 дн,🧬 ПЦР диагностика & Генетика,,A12.26.002.002,
Чувствительность к Цитовиру-3,590.00,10.5.A6,14 дн,🧪 Микробиология,,A09.05.035.028,
Чувствительность к Аллокину-альфа,590.00,10.5.A7,14 дн,🧪 Микробиология,,A09.05.035.023,
Чувствительность к Арбидолу,590.00,10.5.A8,14 дн,🧪 Микробиология,,A09.05.035.011,
Чувствительность к Панавиру,590.00,10.6.A11,14 дн,🧪 Микробиология,,A09.05.035.012,
Чувствительность к Изопринозину,590.00,10.6.A12,14 дн,🧪 Микробиология,,A09.05.035.015,
СОЭ (венозная кровь),310.00,1.0.A1.202,1 дн,🩺 Клинический анализ крови,,A12.05.001,
"Иммунофенотипирование клеток костного мозга или периферической крови для диагностики минимальной остаточной болезни (МОБ) методом проточной цитометрии (ЛПЗ, острый лейкоз, множественная миелома), после лечения",21010.00,1.0.A13.202,8 дн,🩺 Клинический анализ крови,,A12.30.012.002,
"Иммунофенотипирование клеток костного мозга или периферической крови при лимфопролиферативных заболеваниях методом проточной цитометрии (ЛПЗ, острый лейкоз, множественная миелома). Исследование для первичной диагностики",21010.00,1.0.A6.202,0,🩺 Клинический анализ крови,,A12.30.012.001,
Клинический анализ крови без лейкоцитарной формулы (венозная кровь),420.00,1.0.D1.202,1дн,🩺 Клинический анализ крови,,B03.016.002.003,
Клинический анализ крови с лейкоцитарной формулой (5DIFF) (венозная кровь),550.00,1.0.D2.202,1 дн,🩺 Клинический анализ крови,,B03.016.002.004,
Ретикулоциты (венозная кровь),400.00,1.0.D3.202,1 дн,🩺 Клинический анализ крови,,A12.05.123,
Клинический анализ крови (5 DIFF) с подсчетом лейкоцитарной формулы врачом КЛД (венозная кровь),870.00,1.0.D6,1 дн,🩺 Клинический анализ крови,,B03.016.002.005,
"Антитела к капсидному антигену вируса Эпштейна-Барр (Epstein-Barr virus VCA), IgM",810.00,11.10.A1.201,1 дн,🦠 Серология,,A26.06.029.001,
"Антитела к капсидному антигену вируса Эпштейна-Барр (Epstein-Barr virus VCA), IgG",920.00,11.10.A2.201,1 дн,🦠 Серология,,A26.06.029.002,
"Антитела к ядерному антигену вируса Эпштейна-Барр (Epstein-Barr virus EBNA), IgG",790.00,11.10.A7.201,1 дн,🦠 Серология,,A26.06.031,
"Антитела к раннему антигену вируса Эпштейна-Барр (Epstein-Barr virus EA), IgG",790.00,11.10.A8.201,3 дн,🦠 Серология,,A26.06.030,
"Антитела к вирусу Эпштейна-Барр (Epstein-Barr virus), IgM (иммуноблот)",3850.00,11.10.D1.201,3 дн,🦠 Серология,,A26.06.028.001,
"Антитела к вирусу Эпштейна-Барр (Epstein-Barr virus), IgG (иммуноблот)",3850.00,11.10.D2.201,3 дн,🦠 Серология,,A26.06.028.002,
"Антитела к вирусу краснухи, IgM",890.00,11.11.A1.201,1 дн,🦠 Серология,,A26.06.071.002,
"Антитела к вирусу краснухи, IgG",710.00,11.11.A2.201,1 дн,🦠 Серология,,A26.06.071.001,
"Антитела к вирусу краснухи, IgG (иммуноблот)",4200.00,11.11.D1.201,3 дн,🦠 Серология,,A26.06.071.004,
"Антитела к вирусу кори, IgG",990.00,11.12.A2.201,2 дн,🦠 Серология,,A26.06.056.001,
"Антитела к вирусу эпидемического паротита, IgМ",920.00,11.13.A1.201,5 дн,🦠 Серология,,A26.06.112.002,
"Антитела к вирусу эпидемического паротита, IgG",920.00,11.13.A2.201,5 дн,🦠 Серология,,A26.06.112.001,
"Антитела к хеликобактеру (Helicobacter pylori), IgG",845.00,11.14.A1.201,1 дн,🦠 Серология,,A26.06.033.002,
"Антитела к хеликобактеру (Helicobacter pylori), IgA",990.00,11.14.A2.201,8 дн,🦠 Серология,,A26.06.033.001,
"Антитела к хеликобактеру (Helicobacter pylori), IgМ",990.00,11.14.A3.201,1 дн,🦠 Серология,,A26.06.033.003,
"Антитела к хламидии (Chlamydia trachomatis), IgA",750.00,11.15.A1.201,3 дн,🦠 Серология,,A26.06.018.001,
"Антитела к хламидии (Chlamydia trachomatis), IgM",750.00,11.15.A2.201,3 дн,🦠 Серология,,A26.06.018.002,
"Антитела к хламидии (Chlamydia trachomatis), IgG",750.00,11.15.A3.201,3 дн,🦠 Серология,,A26.06.018.003,
"Антитела к хламидофиле (Chlamydophila pneumoniae), IgА",750.00,11.15.A4.201,3 дн,🦠 Серология,,A26.06.016.002,
"Антитела к хламидофиле (Chlamydophila pneumoniae), IgM",750.00,11.15.A5.201,3дн,🦠 Серология,,A26.06.016.001,
"Антитела к хламидофиле (Chlamydophila pneumoniae), IgG",750.00,11.15.A6.201,3 дн,🦠 Серология,,A26.06.016.003,
"Антитела к белку теплового шока Chlamydia trachomatis (Anti-cHSP60), IgG",940.00,11.15.A8,9 дн,🦠 Серология,,A26.06.018.003.001,
