Название услуги,Цена,Код услуги,Длительность,Категория,Рекомендации после приёма,Код по приказу №804н,Ставка НДС
СОЭ (венозная кровь),345.0,1.0.A1.202,1.0,🩺 Клинический анализ крови,,A12.05.001,
Клинический анализ крови без лейкоцитарной формулы (венозная кровь),460.0,1.0.D1.202,1.0,🩺 Клинический анализ крови,,B03.016.002.003,
*Клинический анализ крови с лейкоцитарной формулой (5DIFF) (венозная кровь),580.0,1.0.D2.202,1.0,🩺 Клинический анализ крови,,B03.016.002.004,
Клинический анализ крови (5 DIFF) с подсчетом лейкоцитарной формулы врачом КЛД (венозная кровь),1050.0,1.0.D6,1.0,🩺 Клинический анализ крови,,B03.016.002.005,
Ретикулоциты (венозная кровь),490.0,1.0.D3.202,1.0,🩺 Клинический анализ крови,,A12.05.123,
Клинический анализ крови без лейкоцитарной формулы (капиллярная кровь),605.0,1.2.D1,1.0,🩺 Клинический анализ крови,,B03.016.002.006,
Клинический анализ крови с лейкоцитарной формулой (5DIFF) (капиллярная кровь),660.0,1.2.D2,1.0,🩺 Клинический анализ крови,,B03.016.002.007,
Клинический анализ крови (5 DIFF) с подсчетом лейкоцитарной формулы врачом КЛД (капиллярная кровь),1130.0,1.2.D4,1.0,🩺 Клинический анализ крови,,B03.016.002.008,
Ретикулоциты (капиллярная кровь),550.0,1.2.D3,1.0,🩺 Клинический анализ крови,,A12.05.123.002,
СОЭ (капиллярная кровь),410.0,1.2.D5,1.0,🩺 Клинический анализ крови,,A12.05.001.003,
"Протромбин (время, по Квику, МНО)",560.0,3.0.D1.203,1.0,Прочие анализы,,A12.30.014.003,
Волчаночный антикоагулянт,1505.0,3.0.A5.203,1.0,Прочие анализы,,A12.06.030.005,
Антиген фактора Виллебранда,2375.0,3.0.A29.203,2.0,Прочие анализы,,A09.05.220,
Протеин S свободный,3330.0,3.0.A8.203,1.0,Прочие анализы,,A09.05.126,
АЧТВ,420.0,3.0.A3.203,1.0,Прочие анализы,,A12.05.039,
Фибриноген,510.0,3.0.A1.203,1.0,Прочие анализы,,A09.05.050,
Тромбиновое время,580.0,3.0.A2.203,1.0,Прочие анализы,,A12.05.028,
Антитромбин III,755.0,3.0.A4.203,1.0,Прочие анализы,,A09.05.047,
Д-димер,1925.0,3.0.A6.203,1.0,Прочие анализы,,A09.05.051.001,
Протеин С,2740.0,3.0.A7.203,2.0,Прочие анализы,,A09.05.125,
Плазминоген,1040.0,3.0.A22.203,2.0,Прочие анализы,,A09.05.048,
Мочевина,415.0,4.2.A4.201,1.0,Биохимия крови,,A09.05.017,
Белковые фракции (включает определение общего белка и альбумина),755.0,4.2.D1.201,1.0,Прочие анализы,,A09.05.014.003,
Скорость клубочковой фильтрации (CKD-EPI - взрослые/формула Шварца - дети;  включает определение креатинина),450.0,4.2.D2,1.0,Биохимия крови,,B03.025.001.001,
Мочевая кислота,420.0,4.2.A5.201,1.0,Прочие анализы,,A09.05.018,
Креатинин,420.0,4.2.A3.201,1.0,Биохимия крови,,A09.05.020,
Общий белок,420.0,4.2.A2.201,1.0,Прочие анализы,,A09.05.010,
Альбумин,480.0,4.2.A1.201,1.0,Прочие анализы,,A09.05.011,
Гомоцистеин,2300.0,4.5.A10.201,1.0,Прочие анализы,,A09.05.214,
Электрофорез гемоглобина для диагностики гемоглобинопатий,4735.0,1.1.D1,10.0,Прочие анализы,,A12.05.012.002.001,
Билирубин непрямой (включает определение общего и прямого билирубина),750.0,4.6.D1.201,1.0,Биохимия крови,,A09.05.022,
Билирубин общий,420.0,4.6.A1.201,1.0,Биохимия крови,,A09.05.021,
Билирубин прямой,420.0,4.6.A2.201,1.0,Биохимия крови,,A09.05.022.001,
Глюкоза,365.0,4.4.A1.205,1.0,Биохимия крови,,A09.05.023,
Гликированный гемоглобин А1с,925.0,4.4.D1.202,1.0,Прочие анализы,,A09.05.083,
Фруктозамин,985.0,4.4.A2.201,1.0,Прочие анализы,,A09.05.102,
Молочная кислота (лактат),1030.0,4.4.A3.201,1.0,Прочие анализы,,A09.05.207,
Индекс дислипидемии AпoВ/AпoА1 (включает определение Аполипопротеина В и Аполипопротеина А1),1775.0,4.1.4.D1,1.0,Прочие анализы,,A09.05.027.002,
Триглицериды,420.0,4.5.A1.201,1.0,Прочие анализы,,A09.05.025,
Холестерин общий,420.0,4.5.A2.201,1.0,Биохимия крови,,A09.05.026,
"Холестерин липопротеидов высокой плотности (ЛПВП, HDL)",465.0,4.5.A3.201,1.0,Биохимия крови,,A09.05.004,
Коэффициент атерогенности (включает определение общего холестерина и ЛПВП),870.0,4.5.D3,1.0,Биохимия крови,,B03.016.005.003,
"Холестерин не-ЛПВП (non-HDL, включает определение общего холестерина и ЛПВП)",870.0,4.5.D4,1.0,Биохимия крови,,B03.016.005.004,
"Холестерин липопротеидов низкой плотности (ЛПНП, LDL)",420.0,4.5.A4.201,1.0,Биохимия крови,,A09.05.028,
"Холестерин липопротеидов очень низкой плотности (ЛПОНП), (включает определение триглицеридов)",750.0,4.5.D2.201,1.0,Биохимия крови,,A09.05.028.001,
Аполипопротеин В,855.0,4.5.A7.201,1.0,Прочие анализы,,A09.05.251,
Желчные кислоты,3200.0,4.5.A12.201,5.0,Прочие анализы,,A09.05.129,
Аполипопротеин А1,835.0,4.5.A6.201,1.0,Прочие анализы,,A09.05.250,
Липопротеин (а),1270.0,4.5.A8.201,1.0,Прочие анализы,,A09.05.027.001,
